,Player,Team,Year Signed,Years,,Value,APY,Guaranteed,,APY as % Of Cap At Signing,,Inflated Value,Inflated APY,Inflated Guaranteed
131,Eli Manning,Giants,2004,6,,"$47,990,000","$7,998,333","$20,004,000",,9.9%,,"$166,275,446","$27,712,573","$69,309,732"
132,Blake Bortles,Jaguars,2018,2,,"$34,947,000","$17,483,500","$26,500,000",,9.9%,,"$55,063,219","$27,547,366","$41,753,950"
133,Donovan McNabb,Eagles,1999,7,,"$39,550,000","$5,650,000","$11,300,000",,9.9%,,"$192,751,711","$27,535,959","$55,071,917"
134,Donovan McNabb,Eagles,2009,2,,"$24,200,000","$12,100,000","$15,500,000",,9.8%,,"$54,932,033","$27,466,016","$35,183,740"
135,Drew Brees,Saints,2006,5,,"$60,000,000","$10,000,000","$8,000,000",,9.8%,,"$164,235,294","$27,372,549","$21,898,039"
136,David Carr,Texans,2002,7,,"$48,750,000","$6,964,286","$14,000,000",,9.8%,,"$191,431,907","$27,347,416","$54,975,317"
137,Matt Stafford,Lions,2009,6,,"$72,000,000","$12,000,000","$41,700,000",,9.8%,,"$163,434,146","$27,239,024","$94,655,610"
138,Matt Ryan,Falcons,2008,6,,"$67,500,000","$11,250,000","$34,750,000",,9.7%,,"$162,465,517","$27,077,586","$83,639,655"
139,Alex Smith,49ers,2005,6,,"$49,500,000","$8,250,000","$39,950,000",,9.6%,,"$161,642,105","$26,940,351","$130,456,608"
140,Brian Griese,Broncos,2001,6,,"$39,000,000","$6,500,000","$12,600,000",,9.6%,,"$161,542,912","$26,923,819","$52,190,787"
141,Kevin Kolb,Eagles,2010,1,,"$12,222,000","$12,222,000","$12,222,000",,9.5%,,"$26,452,577","$26,452,577","$26,452,577"
142,Drew Brees,Chargers,2005,1,,"$8,078,000","$8,078,000","$8,078,000",,9.4%,,"$26,378,685","$26,378,685","$26,378,685"
143,Matt Hasselbeck,Seahawks,2005,6,,"$48,000,000","$8,000,000","$17,000,000",,9.4%,,"$156,743,860","$26,123,977","$55,513,450"
144,Kurt Warner,Cardinals,2009,2,,"$23,000,000","$11,500,000","$19,000,000",,9.3%,,"$52,208,130","$26,104,065","$43,128,455"
145,JaMarcus Russell,Raiders,2007,6,,"$61,000,000","$10,166,667","$29,019,120",,9.3%,,"$156,249,541","$26,041,591","$74,331,544"
146,Sam Bradford,Eagles,2010,1,,"$78,000,000","$12,000,000","$50,000,000",,9.3%,,"$168,818,605","$25,972,093","$108,217,054"
147,Tom Brady,Patriots,2013,5,,"$57,000,000","$11,400,000","$57,000,000",,9.3%,,"$129,385,366","$25,877,073","$129,385,366"
148,Michael Vick,Falcons,2001,6,,"$37,300,000","$6,216,667","$22,500,000",,9.2%,,"$154,501,298","$25,750,218","$93,197,834"
149,Tyrod Taylor,CLE/BUF,2017,2,,"$30,500,000","$15,250,000","$15,500,000",,9.1%,,"$50,991,617","$25,495,808","$25,913,772"
150,Mike Glennon,Bears,2017,3,,"$45,000,000","$15,000,000","$18,500,000",,9.0%,,"$75,233,533","$25,077,844","$30,929,341"
151,Carson Palmer,Raiders,2011,4,,"$43,000,000","$10,750,000","$5,000,000",,8.9%,,"$99,734,995","$24,933,749","$11,597,092"
152,Carson Palmer,Bengals,2003,6,,"$40,000,000","$6,666,667","$14,010,000",,8.9%,,"$148,892,770","$24,815,463","$52,149,693"
153,Jason Campbell,Commanders,2005,5,,"$7,500,000","$7,500,000","$4,970,000",,8.8%,,"$24,491,228","$24,491,228","$16,229,520"
154,Nick Foles,Rams,2015,2,,"$25,000,000","$12,250,000","$13,792,000",,8.5%,,"$48,715,801","$23,870,743","$26,875,533"
155,Matt Cassel,Chiefs,2009,6,,"$63,000,000","$10,500,000","$27,750,000",,8.5%,,"$143,004,878","$23,834,146","$62,990,244"
156,Philip Rivers,Chargers,2004,6,,"$41,250,000","$6,875,000","$15,580,000",,8.5%,,"$142,922,737","$23,820,456","$53,981,485"
