,Rank,Player,Pos,"Team Currently With","Age At Signing","Start Year","End Year",Yrs,Value,"Average Salary","Average pct of Cap At Sign","Guarantee at Sign","Practical Guarantee",Year
43,44,Hendon Hooker,QB,"DET
DET",25,2023,2026,4,"$5,719,021","$1,429,755",0.64%,"$1,159,288","$1,159,288",qb
44,45,Kyle Trask,QB,"TB
TB",22,2021,2024,4,"$5,535,337","$1,383,834",0.76%,"$1,385,700","$1,385,700",qb
45,46,Mitchell Trubisky,QB,"BUF
BUF",29,2024,2025,2,"$5,250,000","$2,625,000",1.03%,"$2,710,000","$3,710,000",qb
46,47,Malik Willis,QB,"GB
GB",22,2022,2025,4,"$5,160,100","$1,290,025",0.62%,"$932,800","$932,800",qb
47,T48,Cooper Rush,QB,"DAL
DAL",29,2023,2024,2,"$5,000,000","$2,500,000",1.11%,"$2,750,000","$2,750,000",qb
48,T48,Drew Lock,QB,"NYG
NYG",27,2024,2024,1,"$5,000,000","$5,000,000",1.96%,"$4,950,000","$4,950,000",qb
49,T48,Davis Mills,QB,"HOU
HOU",25,2024,2025,1,"$5,000,000","$5,000,000",1.96%,"$6,316,000","$6,316,000",qb
50,51,Jake Haener,QB,"NO
NO",24,2023,2026,4,"$4,544,816","$1,136,204",0.51%,"$704,816","$704,816",qb
51,52,Stetson Bennett,QB,"LAR
LAR",25,2023,2026,4,"$4,539,140","$1,134,785",0.50%,"$699,140","$699,140",qb
52,53,Joe Flacco,QB,"IND
IND",39,2024,2024,1,"$4,500,000","$4,500,000",1.76%,"$4,500,000","$4,500,000",qb
53,54,Spencer Rattler,QB,"NO
NO",23,2024,2027,4,"$4,356,480","$1,089,120",0.43%,"$336,480","$336,480",qb
54,55,Aidan O'Connell,QB,"LV
LV",24,2023,2026,4,"$4,349,380","$1,087,345",0.48%,"$509,380","$509,380",qb
55,56,Jordan Travis,QB,"NYJ
NYJ",23,2024,2027,4,"$4,274,276","$1,068,569",0.42%,"$254,276","$254,276",qb
56,57,Joe Milton III,QB,"NE
NE",24,2024,2027,4,"$4,203,316","$1,050,829",0.41%,"$183,316","$183,316",qb
57,58,Clayton Tune,QB,"ARI
ARI",24,2023,2026,4,"$4,190,624","$1,047,656",0.47%,"$350,624","$350,624",qb
58,59,Dorian Thompson-Robinson,QB,"CLE
CLE",23,2023,2026,4,"$4,182,272","$1,045,568",0.47%,"$342,272","$342,272",qb
59,60,Tanner McKee,QB,"PHI
PHI",23,2023,2026,4,"$4,026,520","$1,006,630",0.45%,"$186,520","$186,520",qb
60,61,Sam Howell,QB,"SEA
SEA",21,2022,2025,4,"$4,021,600","$1,005,400",0.48%,"$361,600","$361,600",qb
61,T62,Nick Mullens,QB,"MIN
MIN",27,2023,2024,2,"$4,000,000","$2,000,000",0.89%,"$1,922,500","$1,922,500",qb
62,T62,Jameis Winston,QB,"CLE
CLE",30,2024,2024,1,"$4,000,000","$4,000,000",1.57%,"$4,000,000","$4,000,000",qb
63,64,Brock Purdy,QB,"SF
SF",22,2022,2025,4,"$3,737,008","$934,252",0.45%,"$77,008","$77,008",qb
